RED1,RED2,OCCURRENCE,ISSUE
1,23,81,22044 22007 21141 21089 21081 21067 20132 20100 20096 20055 20038 19147 19024 18153 18090 18049 18040 18034 17125 17110 17104 17103 17042 17030 16142 16099 16003 15118 15106 15076 15069 15020 15001 14120 14094 14085 14067 14026 13105 13009 12121 12015 12008 12004 10148 10138 10100 10078 10073 10052 10048 10017 10015 10013 10004 09064 09041 09024 09007 08094 08088 08007 07151 07143 07132 07123 07061 07054 06140 06109 06058 06016 05018 05004 05001 04024 04015 04011 03052 03007 03003 
1,24,83,21089 21079 21073 21071 20114 20092 20085 20043 20038 20037 19130 19104 19085 19071 19043 18149 18115 18111 18043 17138 17084 17080 17062 17038 17036 17035 16103 16101 16080 16079 16052 16020 16016 15138 15115 15035 15015 14130 14112 14012 14004 13039 13027 12121 12120 12048 12032 12008 11144 11138 11089 11011 11007 10138 10117 10115 10112 10110 10085 10009 09101 09023 09021 08153 08137 08129 08085 08074 08050 08037 07143 07014 07005 06102 06058 06018 05106 05088 05040 04117 04090 04009 03010 
1,25,81,22007 21134 21073 21067 20115 20083 20043 19113 19037 19024 18153 18140 18138 18113 18111 18097 18048 18029 18016 17146 17125 17103 17085 17070 17018 16085 16080 16016 16015 15139 15093 15015 14139 14084 14034 14004 13150 13134 13123 13064 13005 12149 12010 11111 11037 11021 10146 10127 10115 10114 10090 10087 10067 10054 09154 09080 09007 08129 07153 07151 07136 07134 07050 07008 06152 06084 06074 06058 05135 05133 05121 05090 05068 05018 04117 04087 04084 04062 04056 04024 04001 
1,26,89,22031 21141 21098 21096 21036 20127 20123 20096 20088 20083 20058 19110 19006 18115 18113 18101 18081 18056 18034 18001 17146 17135 17131 17070 17066 17062 16148 16140 16139 16113 16016 16015 16003 15135 15073 15054 15039 15031 13150 13093 13035 13021 13019 12149 12127 12114 12066 12010 11077 11007 10140 10138 10110 10100 10049 10014 09096 09041 09007 08152 08087 08071 08061 08050 08028 07143 07140 07135 07115 07041 07026 07018 07016 07014 06115 06109 06100 06018 05106 05091 05080 04087 04045 04030 03083 03081 03023 03007 03006 
1,27,78,21133 20096 20081 20064 20043 19149 19147 19110 19078 19045 18138 18114 18053 18037 18016 17146 17131 17126 17038 17036 17003 16125 16103 16099 16039 15139 15113 15112 15077 15076 15073 15060 14091 13105 13062 13047 12114 11116 11111 11102 11072 11049 10148 10110 10085 10082 10073 10060 10052 10049 09139 09096 09021 08128 08092 08071 08058 08050 08006 06152 06147 06119 06053 05152 05144 05091 05080 05001 04062 04058 04047 04045 04012 03085 03033 03027 03025 03006 
1,28,79,22007 21132 21104 21079 20129 20119 20055 20008 19149 19110 19024 19006 18140 18111 18097 18096 18065 18001 17138 17101 17058 17035 16139 16079 16052 16003 15144 15128 15121 15055 14123 14121 14120 14070 14056 13104 13096 13095 13002 12120 12108 12014 11138 11123 11071 11070 10117 10049 10015 10014 10004 09077 09064 09041 08137 08130 08094 08092 08073 08071 08037 07149 07123 07054 07045 06115 06084 06053 06001 05030 05001 04092 04062 04045 04020 04011 03083 03027 03003 
1,29,95,22044 21143 21124 21079 21070 21067 21065 20123 20088 20025 19134 19085 19078 19071 19063 19024 18135 18115 18101 17125 17075 17067 17049 16077 16075 15150 15121 15070 15039 15006 14146 14139 14094 14091 14085 14070 14056 14054 14032 13150 13134 13096 13095 13093 13039 12146 12133 12129 12120 12114 12066 12039 12008 11089 11077 10140 10120 10115 10112 10098 10076 10058 10052 10022 09149 09144 09139 09106 09072 09064 08137 08087 08085 08058 08045 08039 08029 08028 07136 07095 07080 07060 07059 07035 07026 06143 06115 06095 06026 05090 04062 04056 04052 03081 03076 
1,30,93,21141 21106 21032 20114 20088 20083 20055 20043 20029 19146 19134 19100 19071 18138 18048 18037 17126 17125 17104 17085 17030 16148 16142 16139 16125 16089 16044 15069 15045 15039 14130 14121 14112 14110 14074 14073 14054 14025 13096 13067 13047 13035 13002 12048 12021 12014 11134 11114 11089 11071 10138 10112 10087 10059 09136 09135 09120 09075 09031 09024 09023 08153 08152 08130 08092 08087 08075 08072 08007 07149 07071 07045 07005 06153 06130 06119 06118 06107 06100 06016 05122 05120 05052 05040 05016 04096 04056 04023 04012 04011 03081 03052 03033 
1,31,85,21134 21133 21106 21071 20127 20083 20026 19149 19101 19079 19078 19063 19055 19045 19023 19009 18153 18087 18048 18003 18001 17103 17101 17062 17018 16089 15150 15118 15106 15093 15072 15060 15045 15010 15006 14074 14034 13130 13112 13105 13093 13081 13021 13005 12130 11134 11102 11049 11029 11021 11007 10130 10105 10090 10082 10076 10073 10066 10022 09096 09093 09070 08087 08061 08058 08037 07153 07135 07071 07041 07035 06152 06147 06143 06053 05121 05106 04092 04058 04047 04030 04020 04012 03052 03023 
1,32,96,22037 22031 21124 21098 21071 21059 21045 21010 20119 20115 20114 20113 20096 20064 20029 19146 19130 19100 19066 19043 19009 18138 18096 17138 17101 17058 17035 17015 17003 16140 16137 16101 16095 16089 16080 16075 15144 15135 15115 15109 15106 15063 15060 15031 14146 14115 14099 14072 13105 13066 13064 13010 13005 12149 12146 12127 11138 11114 10146 10076 10066 10056 10028 10022 10009 09096 09093 09080 09077 08130 08129 08045 08029 08028 07123 07095 06143 06130 06100 06026 05122 05121 05120 05090 05080 05052 05040 05027 05025 04090 04067 04027 04024 04008 03062 03003 
