RED1,RED2,RED3,RED4,BLUE,OCCURRENCE,ISSUE
1,2,16,26,6,1,13019 
1,2,16,28,12,1,12014 
1,2,16,29,5,1,07060 
1,2,16,30,12,1,12014 
1,2,16,30,16,1,09120 
1,2,16,31,8,1,21134 
1,2,17,18,8,1,03070 
1,2,17,19,8,1,03070 
1,2,17,20,13,1,18097 
1,2,17,22,4,2,15073 12032 
1,2,17,22,14,1,17077 
1,2,17,24,4,1,12032 
1,2,17,24,13,1,03010 
1,2,17,25,2,1,13123 
1,2,17,25,9,1,17018 
1,2,17,25,13,1,18097 
1,2,17,26,4,1,15073 
1,2,17,26,10,1,16140 
1,2,17,27,4,1,15073 
1,2,17,28,11,1,13104 
1,2,17,28,13,1,18097 
1,2,17,30,1,1,05052 
1,2,17,31,9,1,17018 
1,2,17,32,1,1,05052 
1,2,17,32,10,1,16140 
1,2,18,19,7,1,18050 
1,2,18,19,8,1,03070 
1,2,18,20,4,1,09106 
1,2,18,21,14,1,07136 
1,2,18,22,3,1,06026 
1,2,18,23,12,1,10013 
1,2,18,25,8,1,11021 
1,2,18,25,14,1,07136 
1,2,18,29,2,1,10022 
1,2,18,29,3,1,06026 
1,2,18,29,4,1,09106 
1,2,18,29,14,1,07136 
1,2,18,31,2,1,10022 
1,2,18,31,8,1,11021 
1,2,18,32,2,1,10022 
1,2,18,32,3,1,06026 
1,2,19,20,3,1,05084 
1,2,19,21,15,1,20070 
1,2,19,23,8,1,14085 
1,2,19,23,10,1,10052 
1,2,19,24,11,1,15138 
1,2,19,24,14,1,09101 
1,2,19,24,16,1,20085 
1,2,19,25,8,1,21134 
1,2,19,27,10,1,10052 
1,2,19,29,5,1,07060 
1,2,19,29,8,1,14085 
1,2,19,29,10,1,10052 
1,2,19,31,8,1,21134 
1,2,19,33,3,1,19014 
1,2,20,21,9,1,06021 
1,2,20,22,1,1,18107 
1,2,20,22,9,1,06021 
1,2,20,25,13,1,18097 
1,2,20,26,3,1,18081 
1,2,20,26,6,1,13019 
1,2,20,26,14,1,16148 
1,2,20,27,2,1,06119 
1,2,20,28,13,1,18097 
1,2,20,29,4,1,09106 
1,2,20,30,2,1,06119 
1,2,20,30,14,1,16148 
1,2,21,22,9,1,06021 
1,2,21,24,12,1,13027 
1,2,21,25,14,1,07136 
1,2,21,26,11,1,21036 
1,2,21,29,14,1,07136 
1,2,21,31,9,1,15010 
1,2,21,31,10,1,09070 
1,2,21,31,16,1,10130 
1,2,22,24,4,1,12032 
1,2,22,24,10,1,16020 
1,2,22,25,5,1,18029 
1,2,22,25,7,1,16015 
1,2,22,26,4,1,15073 
1,2,22,26,7,2,16015 15054 
1,2,22,27,4,1,15073 
1,2,22,28,2,1,11071 
1,2,22,28,4,1,04020 
1,2,22,28,9,1,14121 
1,2,22,28,15,1,13096 
1,2,22,29,3,1,06026 
1,2,22,29,7,1,14032 
1,2,22,29,8,1,12039 
1,2,22,29,15,1,13096 
1,2,22,30,2,1,11071 
1,2,22,30,9,1,14121 
1,2,22,30,15,1,13096 
1,2,22,31,4,1,04020 
1,2,22,32,3,1,06026 
1,2,22,33,7,1,14032 
1,2,23,24,12,1,21089 
1,2,23,27,10,1,10052 
1,2,23,28,15,1,09064 
1,2,23,29,8,1,14085 
1,2,23,29,10,1,10052 
1,2,23,29,15,1,09064 
1,2,24,27,15,1,17036 
1,2,24,29,6,1,13039 
1,2,24,29,12,1,11089 
